x,y,timeElapsed,Title,Price,Rating,URL,Image
485.78,487.29,55194.80,"Stress Relief: Coloring Book for Adults and Kids, Bold and Easy, Simple and Big Designs for Relaxation Featuring Animals, Landscape, Flowers, Patterns, Cute Things And Many More (Bold & Easy Coloring)","$7.99","4.8 out of 5 stars","https://www.amazon.com/Stress-Relief-Relaxation-Featuring-Landscape/dp/B0D3CSPMZG?ref_=Oct_d_obs_d_4_1&pd_rd_w=tleli&content-id=amzn1.sym.3077d44e-b53e-482e-b605-9df89d795020&pf_rd_p=3077d44e-b53e-482e-b605-9df89d795020&pf_rd_r=T1P2KEAMYDXNF7VF7X1F&pd_rd_wg=mcHgT&pd_rd_r=b6e2a1d4-8f99-4c45-a8e7-9a834a1e54f4&pd_rd_i=B0D3CSPMZG","https://m.media-amazon.com/images/I/61s--VaVyUL._AC._SR360,460.jpg"
459.80,463.59,55196.30,"How to Catch a Leprechaun: A Saint Patrick's Day Book for Kids","$7.36","4.8 out of 5 stars","https://www.amazon.com/How-Catch-Leprechaun-Adam-Wallace/dp/1492632910?ref_=Oct_d_obs_d_4_0&pd_rd_w=tleli&content-id=amzn1.sym.3077d44e-b53e-482e-b605-9df89d795020&pf_rd_p=3077d44e-b53e-482e-b605-9df89d795020&pf_rd_r=T1P2KEAMYDXNF7VF7X1F&pd_rd_wg=mcHgT&pd_rd_r=b6e2a1d4-8f99-4c45-a8e7-9a834a1e54f4&pd_rd_i=1492632910","https://m.media-amazon.com/images/I/81qFXvsZ2sL._AC._SR360,460.jpg"
412.85,419.77,55197.50,"How to Catch a Leprechaun: A Saint Patrick's Day Book for Kids","$7.36","4.8 out of 5 stars","https://www.amazon.com/How-Catch-Leprechaun-Adam-Wallace/dp/1492632910?ref_=Oct_d_obs_d_4_0&pd_rd_w=tleli&content-id=amzn1.sym.3077d44e-b53e-482e-b605-9df89d795020&pf_rd_p=3077d44e-b53e-482e-b605-9df89d795020&pf_rd_r=T1P2KEAMYDXNF7VF7X1F&pd_rd_wg=mcHgT&pd_rd_r=b6e2a1d4-8f99-4c45-a8e7-9a834a1e54f4&pd_rd_i=1492632910","https://m.media-amazon.com/images/I/81qFXvsZ2sL._AC._SR360,460.jpg"
345.15,356.53,55198.30,"How to Catch a Leprechaun: A Saint Patrick's Day Book for Kids","$7.36","4.8 out of 5 stars","https://www.amazon.com/How-Catch-Leprechaun-Adam-Wallace/dp/1492632910?ref_=Oct_d_obs_d_4_0&pd_rd_w=tleli&content-id=amzn1.sym.3077d44e-b53e-482e-b605-9df89d795020&pf_rd_p=3077d44e-b53e-482e-b605-9df89d795020&pf_rd_r=T1P2KEAMYDXNF7VF7X1F&pd_rd_wg=mcHgT&pd_rd_r=b6e2a1d4-8f99-4c45-a8e7-9a834a1e54f4&pd_rd_i=1492632910","https://m.media-amazon.com/images/I/81qFXvsZ2sL._AC._SR360,460.jpg"
423.36,437.61,55963.80,"How to Catch a Leprechaun: A Saint Patrick's Day Book for Kids","$7.36","4.8 out of 5 stars","https://www.amazon.com/How-Catch-Leprechaun-Adam-Wallace/dp/1492632910?ref_=Oct_d_obs_d_4_0&pd_rd_w=tleli&content-id=amzn1.sym.3077d44e-b53e-482e-b605-9df89d795020&pf_rd_p=3077d44e-b53e-482e-b605-9df89d795020&pf_rd_r=T1P2KEAMYDXNF7VF7X1F&pd_rd_wg=mcHgT&pd_rd_r=b6e2a1d4-8f99-4c45-a8e7-9a834a1e54f4&pd_rd_i=1492632910","https://m.media-amazon.com/images/I/81qFXvsZ2sL._AC._SR360,460.jpg"
451.37,412.68,58462.60,"How to Catch a Leprechaun: A Saint Patrick's Day Book for Kids","$7.36","4.8 out of 5 stars","https://www.amazon.com/How-Catch-Leprechaun-Adam-Wallace/dp/1492632910?ref_=Oct_d_obs_d_4_0&pd_rd_w=tleli&content-id=amzn1.sym.3077d44e-b53e-482e-b605-9df89d795020&pf_rd_p=3077d44e-b53e-482e-b605-9df89d795020&pf_rd_r=T1P2KEAMYDXNF7VF7X1F&pd_rd_wg=mcHgT&pd_rd_r=b6e2a1d4-8f99-4c45-a8e7-9a834a1e54f4&pd_rd_i=1492632910","https://m.media-amazon.com/images/I/81qFXvsZ2sL._AC._SR360,460.jpg"
367.77,419.07,59017.90,"How to Catch a Leprechaun: A Saint Patrick's Day Book for Kids","$7.36","4.8 out of 5 stars","https://www.amazon.com/How-Catch-Leprechaun-Adam-Wallace/dp/1492632910?ref_=Oct_d_obs_d_4_0&pd_rd_w=tleli&content-id=amzn1.sym.3077d44e-b53e-482e-b605-9df89d795020&pf_rd_p=3077d44e-b53e-482e-b605-9df89d795020&pf_rd_r=T1P2KEAMYDXNF7VF7X1F&pd_rd_wg=mcHgT&pd_rd_r=b6e2a1d4-8f99-4c45-a8e7-9a834a1e54f4&pd_rd_i=1492632910","https://m.media-amazon.com/images/I/81qFXvsZ2sL._AC._SR360,460.jpg"
453.81,375.27,59555.40,"How to Catch a Leprechaun: A Saint Patrick's Day Book for Kids","$7.36","4.8 out of 5 stars","https://www.amazon.com/How-Catch-Leprechaun-Adam-Wallace/dp/1492632910?ref_=Oct_d_obs_d_4_0&pd_rd_w=tleli&content-id=amzn1.sym.3077d44e-b53e-482e-b605-9df89d795020&pf_rd_p=3077d44e-b53e-482e-b605-9df89d795020&pf_rd_r=T1P2KEAMYDXNF7VF7X1F&pd_rd_wg=mcHgT&pd_rd_r=b6e2a1d4-8f99-4c45-a8e7-9a834a1e54f4&pd_rd_i=1492632910","https://m.media-amazon.com/images/I/81qFXvsZ2sL._AC._SR360,460.jpg"
615.32,401.95,60015.00,"Stress Relief: Coloring Book for Adults and Kids, Bold and Easy, Simple and Big Designs for Relaxation Featuring Animals, Landscape, Flowers, Patterns, Cute Things And Many More (Bold & Easy Coloring)","$7.99","4.8 out of 5 stars","https://www.amazon.com/Stress-Relief-Relaxation-Featuring-Landscape/dp/B0D3CSPMZG?ref_=Oct_d_obs_d_4_1&pd_rd_w=tleli&content-id=amzn1.sym.3077d44e-b53e-482e-b605-9df89d795020&pf_rd_p=3077d44e-b53e-482e-b605-9df89d795020&pf_rd_r=T1P2KEAMYDXNF7VF7X1F&pd_rd_wg=mcHgT&pd_rd_r=b6e2a1d4-8f99-4c45-a8e7-9a834a1e54f4&pd_rd_i=B0D3CSPMZG","https://m.media-amazon.com/images/I/61s--VaVyUL._AC._SR360,460.jpg"
637.19,372.76,60517.90,"Stress Relief: Coloring Book for Adults and Kids, Bold and Easy, Simple and Big Designs for Relaxation Featuring Animals, Landscape, Flowers, Patterns, Cute Things And Many More (Bold & Easy Coloring)","$7.99","4.8 out of 5 stars","https://www.amazon.com/Stress-Relief-Relaxation-Featuring-Landscape/dp/B0D3CSPMZG?ref_=Oct_d_obs_d_4_1&pd_rd_w=tleli&content-id=amzn1.sym.3077d44e-b53e-482e-b605-9df89d795020&pf_rd_p=3077d44e-b53e-482e-b605-9df89d795020&pf_rd_r=T1P2KEAMYDXNF7VF7X1F&pd_rd_wg=mcHgT&pd_rd_r=b6e2a1d4-8f99-4c45-a8e7-9a834a1e54f4&pd_rd_i=B0D3CSPMZG","https://m.media-amazon.com/images/I/61s--VaVyUL._AC._SR360,460.jpg"
